Lokasi,Tren,Tanggal Listing,Harga,Harga Asli,Omset 30 Hari,Rata-rata Omset per bulan,Omset Total,Penjualan 30 Hari,Rata-rata Penjualan per bulan,Penjualan Total,Jumlah Stok,Nilai Stok,Rating,Jumlah Ulasan,Wishlist,Category,Harga_encoded,Rata-rata Penjualan per bulan_outlier_flag,Rata-rata Omset per bulan_outlier_flag,Nilai Stok_outlier_flag
KOTA SURABAYA,-91.0,2023-10-09,2650,5300,246450,2771785,35308600,93.0,1045,13324.0,2501,6627650,4.79,2071.0,266.0,Perawatan Wanita,34000.0,False,False,False
KOTA SURAKARTA (SOLO),-12.0,2023-07-27,69000,100000,14835000,17019216,257991000,215.0,246,3739.0,1170,80730000,4.51,1575.0,866.0,Sepatu,127500.0,False,False,False
KAB. TANGERANG,120.0,2024-01-27,4748,9999,4097524,1860849,17031076,863.0,391,3587.0,2592,12306816,4.79,502.0,298.0,Perawatan Kaki,2150.0,False,False,False
KOTA SURABAYA,2.0,2022-04-17,9990,0,10289700,10072290,306912780,1030.0,1008,30722.0,1853,18511470,4.87,4787.0,1415.0,misc,16221.5,False,False,False
KAB. SUKOHARJO,-31.0,2021-03-30,32800,0,4624800,6767401,291395200,141.0,206,8884.0,107,3509600,4.82,2810.0,622.0,Sepatu,49650.0,False,False,False
KAB. KARANGANYAR,100.0,2019-04-19,77121,77900,4079700,2033506,135038871,52.0,26,1751.0,3920,302314320,4.505000000000001,817.0,251.0,Sepatu,107910.0,False,False,True
KAB. BANDUNG,28.0,2023-12-23,78473,80900,17185587,13346051,137092331,219.0,170,1747.0,17803,1397054819,4.75,802.0,440.0,Sepatu,47500.0,False,False,True
KAB. TANGERANG,132.0,2023-10-10,1970,5000,5890300,2538582,32252840,2990.0,1288,16372.0,13058,25724260,4.68,1544.0,204.0,Tas,15000.0,False,False,False
KAB. MOJOKERTO,-10.0,2021-01-06,51300,90000,12568500,14081339,645610500,245.0,274,12585.0,24956,1280242800,4.58,5395.0,3547.0,Sepatu,74000.0,False,False,True
KAB. KARANGANYAR,-20.0,2017-06-11,98901,99900,7140652,9000180,798032169,72.0,91,8069.0,2588,255955788,4.505000000000001,3083.0,1075.0,Sepatu,107910.0,False,False,True
KAB. BANDUNG,42.0,2018-10-01,47500,76000,25175000,17660830,1289150000,530.0,371,27140.0,2095,99512500,4.52,10910.0,4768.0,Sepatu,47500.0,False,False,False
KAB. TANGERANG,-62.0,2020-11-17,3500,5000,602000,1621094,76944000,172.0,463,21984.0,4048,14168000,4.77,6260.0,424.0,Perawatan Wanita,16393.0,False,False,False
KOTA SURABAYA,-83.0,2022-11-16,2680,6380,399320,2479668,58287320,149.0,925,21749.0,400,1072000,4.79,3644.0,318.0,Perawatan Wanita,34000.0,False,False,False
KAB. KLATEN,97.0,2022-06-21,89999,125000,39959556,20236629,573743625,444.0,224,6375.0,3255,292946745,4.63,2380.0,1037.0,Sepatu,84499.5,False,False,True
KAB. TANGERANG,27.0,2022-12-31,1802,2212,286518,224908,4953698,159.0,124,2749.0,3107,5598814,4.71,304.0,34.0,Perawatan Kaki,2150.0,False,False,False
KOTA JAKARTA TIMUR,16.0,2022-12-17,11250,17500,7110000,6095604,136991250,632.0,541,12177.0,11822,132997500,4.85,1930.0,1429.0,Perawatan Kaki,11250.0,False,False,False
KAB. TANGERANG,-25.0,2024-03-04,3699,8999,1394523,1875591,14818194,377.0,507,4006.0,2613,9665487,4.76,432.0,243.0,Perawatan Wanita,16393.0,False,False,False
KAB. BANDUNG,-46.0,2023-03-10,4250,11500,2841550,5317767,104860250,668.0,1251,24673.0,7453,31675250,4.73,2310.0,542.0,Perawatan Kaki,6100.0,False,False,False
KAB. TANGERANG,-71.0,2023-07-08,2218,2263,328264,1142211,18010160,148.0,514,8120.0,618,1370724,4.55,1012.0,823.0,Perawatan Wanita,16393.0,False,False,False
KAB. BANDUNG BARAT,-39.0,2021-12-08,4399,0,5643917,9286549,322917393,1283.0,2111,73407.0,1124,4944476,4.83,7445.0,946.0,Perawatan Wanita,57199.5,False,False,False
KAB. SIDOARJO,41.0,2022-09-11,4751,7000,6656151,4701367,120675400,1401.0,989,25400.0,15989,75963739,4.73,3676.0,810.0,Perawatan Wanita,9999.0,False,False,False
KOTA SURABAYA,-52.0,2024-02-26,14900,0,6244590,13194989,108039900,419.0,885,7251.0,3162,47113800,4.72,1521.0,157.0,Sepatu,46450.0,False,False,False
KOTA PADANG,74.0,2020-10-13,2950,0,298245,171081,8316050,101.0,57,2819.0,803,2368850,4.66,316.0,37.0,Perawatan Kaki,2950.0,False,False,False
KAB. TANGERANG,27.0,2024-02-29,2327,5999,3907033,3057180,24738337,1679.0,1313,10631.0,745,1733615,4.77,1085.0,883.0,Perawatan Kaki,2150.0,False,False,False
KOTA JAKARTA UTARA,55.0,2024-01-23,5999,13000,6394934,4122576,38243625,1066.0,687,6375.0,4627,27757373,4.87,653.0,1304.0,Perawatan Wanita,30000.0,False,False,False
KOTA JAKARTA UTARA,-56.0,2023-01-30,26300,0,11124900,25355712,533679600,423.0,964,20292.0,742,19514600,4.91,3889.0,13716.5,Perawatan Wanita,30000.0,False,False,False
KOTA JAKARTA BARAT,33.0,2024-01-11,15500,0,12648000,9456829,91434500,816.0,610,5899.0,4542,70401000,4.89,767.0,627.0,Perawatan Wanita,32772.0,False,False,False
KOTA BANDUNG,150.0,2023-11-08,34900,69000,46696200,18670354,219625700,1338.0,534,6293.0,426,14867400,4.87,1398.0,1832.0,Perawatan Kaki,8500.0,False,False,False
KOTA JAKARTA BARAT,97.0,2023-02-22,19111,99000,15919463,8052325,163551938,833.0,421,8558.0,12516,239193276,4.92,1690.0,1475.0,Sneakers,102295.0,False,False,True
KOTA JAKARTA BARAT,150.0,2023-11-14,27500,110000,16197500,6477405,75075000,589.0,235,2730.0,9491,261002500,4.92,587.0,1054.0,Perawatan Wanita,32772.0,False,False,True
KOTA JAKARTA BARAT,45.0,2023-11-19,28899,0,18986643,13032327,148540860,657.0,450,5140.0,2717,78518583,4.94,832.0,1490.0,Perawatan Kaki,15900.0,False,False,False
KOTA JAKARTA BARAT,-74.0,2022-11-08,28000,0,6356000,25077106,595868000,227.0,895,21281.0,1773,49644000,4.92,3947.0,11462.0,Perawatan Wanita,32772.0,False,False,False
KAB. GROBOGAN,-80.0,2023-11-28,5999,6000,1031828,1865687,18110981,172.0,311,3019.0,19498,116968502,4.505000000000001,909.0,121.0,misc,33900.0,False,False,False
